484.953	261.818	1.19076
280.785	327.282	0.948858
565.102	350.549	0.616492
289.828	446.383	2.86513
590.692	512.406	4.18712
555.666	147.036	1.6626
277.463	239.572	2.00576
407.995	450.875	4.04863
400.377	493.753	6.11754
496.583	134.579	3.98774
703.216	351.072	3.46707
695.15	207.121	0.873821
88.4037	504.158	6.0612
67.6824	479.147	3.35616
720.645	256.644	4.73145
253.031	434.901	0.187115
686.747	234.731	6.03019
645.905	223.542	2.42578
584.136	361.136	2.03488
409.898	396.713	1.94388
635.624	72.9508	5.97634
289.303	368.059	5.88641
688.949	80.2676	3.76067
146.121	108.692	1.06453
520.196	314.267	2.80425
140.157	329.352	3.4595
65.1322	320.601	2.94689
182.243	359.937	1.17528
410.578	495.699	5.82745
179.953	365.317	4.24641
292.021	157.169	4.4793
282.1	211.993	3.15277
225.09	279.043	3.19773
57.6615	56.7941	4.08746
158.226	187.812	1.6285
689.434	52.7831	5.92541
67.6657	195.41	6.1316
156.757	410.835	1.46346
717.098	144.994	0.426238
68.3921	517.961	5.53171
468.414	151.729	3.93324
186.549	463.073	0.163172
115.592	500.476	2.61059
70.8361	546.922	4.6315
51.873	68.4686	2.65564
288.266	353.993	1.55122
522.406	157.267	2.26966
180.083	303.392	5.29701
463.627	315.04	4.068
583.582	398.423	4.21011
647.872	191.458	1.70583
55.9238	59.2091	5.90862
145.036	448.156	1.24153
483.408	154.807	6.13219
719.974	52.6174	3.07986
376.374	487.641	0.972267
80.467	509.926	3.24916
188.921	341.21	1.86779
559.857	108.784	3.45777
540.968	375.441	0.319333
732.929	475.659	1.34449
332.206	162.618	0.183809
453.833	246.252	0.0127025
540.754	141.616	4.97264
89.2372	197.703	4.04848
495.693	218.499	4.23575
704.529	356.272	1.52093
152.183	181.426	2.62245
111.841	217.754	6.22706
136.424	365.819	3.95438
478.929	205.34	1.98242
741.123	93.4529	1.16572
719.829	512.473	0.938734
496.518	97.2263	2.75158
518.484	170.213	4.79289
731.004	97.706	2.06309
181.825	353.188	5.1988
74.3263	451.016	5.22947
418.538	464.428	0.967716
455.81	258.421	2.7212
403.814	494.464	4.74201
182.388	288.706	5.27288
466.244	90.4294	4.53612
740.299	172.913	3.35416
547.505	407.935	3.67142
455.643	263.483	5.19227
89.235	79.3337	3.18563
548.515	98.1633	2.58902
116.008	259.224	2.78522
64.4519	294.451	5.23162
202.668	285.918	1.42598
609.508	174.421	2.78022
250.1	513.084	5.52362
719.637	255.314	3.0649
282.056	299.338	6.13699
150.51	447.465	2.83532
281.799	311.552	0.996472
75.1659	511.362	4.70739
694.683	95.0486	1.64388
531.029	84.5291	2.07255

